Retailer Dataset,,,,,,,,,,,
,,,,,,,,,,,
Retailer,Retailer ID,Invoice Date,Region,State,City,Beverage Brand,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
Amazon,1197831,28-07-2022,South,Texas,Houston,Fanta,0.35,"6,250",2187.50,984.38,45%
Amazon,1197831,29-07-2022,South,Texas,Houston,Powerade,0.40,"5,000",2000.00,600.00,30%
Amazon,1197831,30-07-2022,South,Texas,Houston,Dasani Water,0.35,"7,000",2450.00,1225.00,50%
Amazon,1197831,31-07-2022,South,Texas,Houston,Coca-Cola,0.30,"8,750",2625.00,918.75,35%
Amazon,1197831,01-08-2022,South,Texas,Houston,Diet Coke,0.40,"8,750",3500.00,1225.00,35%
Amazon,1197831,02-08-2022,South,Texas,Houston,Sprite,0.35,"7,000",2450.00,857.50,35%
FizzyCo,1197831,03-08-2022,South,Texas,Houston,Fanta,0.40,"6,000",2400.00,1080.00,45%
FizzyCo,1197831,04-08-2022,South,Texas,Houston,Powerade,0.45,"5,000",2250.00,675.00,30%
FizzyCo,1197831,05-08-2022,South,Texas,Houston,Dasani Water,0.40,"6,500",2600.00,1300.00,50%
FizzyCo,1197831,06-08-2022,South,Texas,Houston,Coca-Cola,0.30,"9,000",2700.00,945.00,35%
FizzyCo,1197831,07-08-2022,South,Texas,Houston,Diet Coke,0.40,"9,000",3600.00,1260.00,35%
FizzyCo,1197831,08-08-2022,South,Texas,Houston,Sprite,0.35,"7,250",2537.50,888.13,35%
FizzyCo,1197831,09-08-2022,South,Texas,Houston,Fanta,0.40,"6,250",2500.00,1125.00,45%
Walmart,1197831,10-08-2022,South,Texas,Houston,Powerade,0.45,"5,250",2362.50,708.75,30%
Walmart,1197831,11-08-2022,South,Texas,Houston,Dasani Water,0.40,"8,000",3200.00,1600.00,50%
Walmart,1197831,12-08-2022,South,Texas,Houston,Coca-Cola,0.30,"9,250",2775.00,971.25,35%
Walmart,1197831,13-08-2022,South,Texas,Houston,Diet Coke,0.40,"9,250",3700.00,1295.00,35%
Walmart,1197831,14-08-2022,South,Texas,Houston,Sprite,0.35,"7,750",2712.50,949.38,35%
Walmart,1197831,15-08-2022,South,Texas,Houston,Fanta,0.40,"7,000",2800.00,1260.00,45%
Walmart,1197831,16-08-2022,South,Texas,Houston,Powerade,0.45,"6,000",2700.00,810.00,30%
Walmart,1197831,17-08-2022,South,Texas,Houston,Dasani Water,0.40,"9,500",3800.00,1900.00,50%
Walmart,1197831,18-08-2022,South,Texas,Houston,Coca-Cola,0.40,"9,500",3800.00,1330.00,35%
Walmart,1197831,19-08-2022,South,Texas,Houston,Diet Coke,0.45,"9,500",4275.00,1496.25,35%
Walmart,1197831,20-08-2022,South,Texas,Houston,Sprite,0.40,"8,000",3200.00,1120.00,35%
Walmart,1197831,21-08-2022,South,Texas,Houston,Fanta,0.40,"7,500",3000.00,1350.00,45%
Walmart,1197831,22-08-2022,South,Texas,Houston,Powerade,0.45,"6,500",2925.00,877.50,30%
Walmart,1197831,23-08-2022,South,Texas,Houston,Dasani Water,0.50,"10,000",5000.00,2500.00,50%
Walmart,1197831,24-08-2022,South,Texas,Houston,Coca-Cola,0.40,"9,500",3800.00,1330.00,35%
Walmart,1197831,25-08-2022,South,Texas,Houston,Diet Coke,0.45,"9,500",4275.00,1496.25,35%
Walmart,1197831,26-08-2022,South,Texas,Houston,Sprite,0.40,"11,000",4400.00,1540.00,35%
Walmart,1197831,27-08-2022,South,Texas,Houston,Fanta,0.40,"7,000",2800.00,1260.00,45%
Walmart,1197831,28-08-2022,South,Texas,Houston,Powerade,0.45,"7,000",3150.00,945.00,30%
Walmart,1197831,29-08-2022,South,Texas,Houston,Dasani Water,0.50,"9,750",4875.00,2437.50,50%
Walmart,1197831,30-08-2022,South,Texas,Houston,Coca-Cola,0.40,"9,250",3700.00,1295.00,35%
Walmart,1197831,31-08-2022,South,Texas,Houston,Diet Coke,0.45,"9,250",4162.50,1456.88,35%
Walmart,1197831,01-09-2022,South,Texas,Houston,Sprite,0.40,"11,000",4400.00,1540.00,35%
Walmart,1197831,02-09-2022,South,Texas,Houston,Fanta,0.40,"6,500",2600.00,1170.00,45%
Walmart,1197831,03-09-2022,South,Texas,Houston,Powerade,0.45,"6,500",2925.00,877.50,30%
Walmart,1197831,04-09-2022,South,Texas,Houston,Dasani Water,0.50,"9,000",4500.00,2250.00,50%
Walmart,1197831,05-09-2022,South,Texas,Houston,Coca-Cola,0.45,"8,500",3825.00,1338.75,35%
Walmart,1197831,06-09-2022,South,Texas,Houston,Diet Coke,0.45,"8,500",3825.00,1338.75,35%
Walmart,1197831,07-09-2022,South,Texas,Houston,Sprite,0.50,"9,000",4500.00,1575.00,35%
Walmart,1197831,08-09-2022,South,Texas,Houston,Fanta,0.50,"6,250",3125.00,1406.25,45%
Walmart,1197831,09-09-2022,South,Texas,Houston,Powerade,0.45,"6,250",2812.50,843.75,30%
Walmart,1197831,10-09-2022,South,Texas,Houston,Dasani Water,0.55,"8,500",4675.00,2337.50,50%
Walmart,1197831,11-09-2022,South,Texas,Houston,Coca-Cola,0.45,"8,000",3600.00,1260.00,35%
Walmart,1197831,12-09-2022,South,Texas,Houston,Diet Coke,0.45,"8,000",3600.00,1260.00,35%
Walmart,1197831,13-09-2022,South,Texas,Houston,Sprite,0.50,"7,500",3750.00,1312.50,35%
Walmart,1197831,14-09-2022,South,Texas,Houston,Fanta,0.50,"6,000",3000.00,1350.00,45%
Walmart,1197831,15-09-2022,South,Texas,Houston,Powerade,0.45,"5,750",2587.50,776.25,30%
Walmart,1197831,16-09-2022,South,Texas,Houston,Dasani Water,0.55,"7,500",4125.00,2062.50,50%
Walmart,1197831,20-10-2022,South,Texas,Houston,Coca-Cola,0.45,"9,000",4050.00,1417.50,35%
Walmart,1197831,21-10-2022,South,Texas,Houston,Diet Coke,0.45,"9,000",4050.00,1417.50,35%
Walmart,1197831,22-10-2022,South,Texas,Houston,Sprite,0.50,"8,250",4125.00,1443.75,35%
Walmart,1197831,23-10-2022,South,Texas,Houston,Fanta,0.50,"6,750",3375.00,1518.75,45%
Walmart,1197831,24-10-2022,South,Texas,Houston,Powerade,0.45,"6,500",2925.00,877.50,30%
Walmart,1197831,25-10-2022,South,Texas,Houston,Dasani Water,0.55,"8,500",4675.00,2337.50,50%
Walmart,1197831,26-10-2022,South,Texas,Houston,Coca-Cola,0.45,"9,500",4275.00,1496.25,35%
Walmart,1197831,27-10-2022,South,Texas,Houston,Diet Coke,0.45,"9,500",4275.00,1496.25,35%
Walmart,1197831,28-10-2022,South,Texas,Houston,Sprite,0.50,"8,500",4250.00,1487.50,35%
Walmart,1197831,29-10-2022,South,Texas,Houston,Fanta,0.50,"7,000",3500.00,1575.00,45%
Walmart,1197831,30-10-2022,South,Texas,Houston,Powerade,0.45,"6,500",2925.00,877.50,30%
Walmart,1197831,31-10-2022,South,Texas,Houston,Dasani Water,0.55,"9,000",4950.00,2475.00,50%
West Soda,1128299,01-11-2022,South,Texas,Houston,Coca-Cola,0.40,"7,750",3100.00,1085.00,35%
West Soda,1128299,02-11-2022,South,Texas,Houston,Diet Coke,0.50,"7,750",3875.00,775.00,20%
West Soda,1128299,03-11-2022,South,Texas,Houston,Sprite,0.50,"7,750",3875.00,1356.25,35%
West Soda,1128299,04-11-2022,South,Texas,Houston,Fanta,0.50,"6,250",3125.00,937.50,30%
West Soda,1128299,05-11-2022,West,California,San Francisco,Powerade,0.55,"5,750",3162.50,1581.25,50%
West Soda,1128299,06-11-2022,West,California,San Francisco,Dasani Water,0.50,"7,750",3875.00,581.25,15%
West Soda,1128299,07-11-2022,West,California,San Francisco,Coca-Cola,0.40,"8,250",3300.00,1155.00,35%
West Soda,1128299,08-11-2022,West,California,San Francisco,Diet Coke,0.50,"7,250",3625.00,725.00,20%
West Soda,1128299,09-11-2022,West,California,San Francisco,Sprite,0.50,"7,250",3625.00,1268.75,35%
West Soda,1128299,10-11-2022,West,California,San Francisco,Fanta,0.50,"5,750",2875.00,862.50,30%
West Soda,1128299,11-11-2022,West,California,San Francisco,Powerade,0.55,"5,000",2750.00,1375.00,50%
West Soda,1128299,12-11-2022,West,California,San Francisco,Dasani Water,0.50,"7,000",3500.00,525.00,15%
West Soda,1128299,13-11-2022,West,California,San Francisco,Coca-Cola,0.50,"8,500",4250.00,1487.50,35%
West Soda,1128299,14-11-2022,West,California,San Francisco,Diet Coke,0.60,"7,000",4200.00,840.00,20%
West Soda,1128299,15-11-2022,West,California,San Francisco,Sprite,0.60,"7,000",4200.00,1470.00,35%
West Soda,1128299,22-12-2022,West,California,San Francisco,Fanta,0.60,"6,000",3600.00,1080.00,30%
West Soda,1128299,23-12-2022,West,California,San Francisco,Powerade,0.65,"5,000",3250.00,1625.00,50%
West Soda,1128299,24-12-2022,West,California,San Francisco,Dasani Water,0.60,"7,000",4200.00,630.00,15%
West Soda,1128299,25-12-2022,West,California,San Francisco,Coca-Cola,0.60,"8,750",5250.00,1837.50,35%
West Soda,1128299,26-12-2022,West,California,San Francisco,Diet Coke,0.65,"6,750",4387.50,877.50,20%
West Soda,1128299,27-12-2022,West,California,San Francisco,Sprite,0.65,"7,250",4712.50,1649.38,35%
West Soda,1128299,28-12-2022,West,California,San Francisco,Fanta,0.60,"6,250",3750.00,1125.00,30%
West Soda,1128299,29-12-2022,West,California,San Francisco,Powerade,0.65,"5,250",3412.50,1706.25,50%
West Soda,1128299,30-12-2022,West,California,San Francisco,Dasani Water,0.80,"7,000",5600.00,840.00,15%
West Soda,1128299,31-12-2022,West,California,San Francisco,Coca-Cola,0.60,"9,000",5400.00,2160.00,40%
West Soda,1128299,01-01-2023,West,California,San Francisco,Diet Coke,0.65,"7,500",4875.00,1218.75,25%
West Soda,1128299,02-01-2023,West,California,San Francisco,Sprite,0.65,"7,500",4875.00,1950.00,40%
West Soda,1128299,03-01-2023,West,California,San Francisco,Fanta,0.60,"6,500",3900.00,1365.00,35%
West Soda,1128299,04-01-2023,West,California,San Francisco,Powerade,0.65,"5,500",3575.00,1966.25,55%
West Soda,1128299,05-01-2023,West,California,San Francisco,Dasani Water,0.80,"7,250",5800.00,1160.00,20%
West Soda,1128299,06-01-2023,West,California,San Francisco,Coca-Cola,0.60,"9,750",5850.00,2340.00,40%
West Soda,1128299,07-01-2023,West,California,San Francisco,Diet Coke,0.65,"8,250",5362.50,1340.63,25%
West Soda,1128299,08-01-2023,West,California,San Francisco,Sprite,0.65,"8,250",5362.50,2145.00,40%
West Soda,1128299,09-01-2023,West,California,San Francisco,Fanta,0.60,"7,000",4200.00,1470.00,35%
West Soda,1128299,10-01-2023,West,California,San Francisco,Powerade,0.65,"5,750",3737.50,2055.63,55%
West Soda,1128299,11-01-2023,West,California,San Francisco,Dasani Water,0.80,"8,750",7000.00,1400.00,20%
West Soda,1128299,12-01-2023,West,California,San Francisco,Coca-Cola,0.60,"10,250",6150.00,2152.50,35%
West Soda,1128299,13-01-2023,West,California,San Francisco,Diet Coke,0.65,"8,750",5687.50,1137.50,20%
West Soda,1128299,14-01-2023,West,California,San Francisco,Sprite,0.65,"8,250",5362.50,1876.88,35%
West Soda,1128299,15-01-2023,West,California,San Francisco,Fanta,0.60,"7,250",4350.00,1305.00,30%
West Soda,1128299,16-01-2023,West,California,San Francisco,Powerade,0.65,"7,750",5037.50,2518.75,50%
West Soda,1128299,17-01-2023,West,California,San Francisco,Dasani Water,0.80,"7,750",6200.00,930.00,15%
West Soda,1128299,18-01-2023,West,California,San Francisco,Coca-Cola,0.65,"9,750",6337.50,2218.13,35%
West Soda,1128299,19-01-2023,West,California,San Francisco,Diet Coke,0.70,"9,250",6475.00,1295.00,20%
West Soda,1128299,20-01-2023,West,California,San Francisco,Sprite,0.65,"8,000",5200.00,1820.00,35%
West Soda,1128299,21-01-2023,West,California,San Francisco,Fanta,0.65,"7,500",4875.00,1462.50,30%
West Soda,1128299,22-01-2023,West,California,San Francisco,Powerade,0.75,"7,500",5625.00,2812.50,50%
West Soda,1128299,23-01-2023,West,California,San Francisco,Dasani Water,0.80,"7,250",5800.00,870.00,15%
West Soda,1128299,24-01-2023,West,California,San Francisco,Coca-Cola,0.55,"9,250",5087.50,1526.25,30%
West Soda,1128299,25-01-2023,West,California,San Francisco,Diet Coke,0.60,"9,250",5550.00,832.50,15%
West Soda,1128299,26-01-2023,West,California,San Francisco,Sprite,0.55,"7,750",4262.50,1278.75,30%
West Soda,1128299,27-01-2023,West,California,San Francisco,Fanta,0.55,"7,250",3987.50,996.88,25%
West Soda,1128299,28-01-2023,West,California,San Francisco,Powerade,0.65,"7,250",4712.50,2120.63,45%
West Soda,1128299,29-01-2023,West,California,San Francisco,Dasani Water,0.70,"7,750",5425.00,542.50,10%
West Soda,1128299,30-01-2023,West,California,San Francisco,Coca-Cola,0.55,"8,750",4812.50,1443.75,30%
West Soda,1128299,31-01-2023,West,California,San Francisco,Diet Coke,0.60,"8,750",5250.00,787.50,15%
West Soda,1128299,01-02-2023,West,California,San Francisco,Sprite,0.55,"7,000",3850.00,1155.00,30%
West Soda,1128299,02-02-2023,West,California,San Francisco,Fanta,0.55,"6,750",3712.50,928.13,25%
West Soda,1128299,03-02-2023,West,California,San Francisco,Powerade,0.65,"6,500",4225.00,1901.25,45%
West Soda,1128299,04-02-2023,West,California,San Francisco,Dasani Water,0.70,"7,000",4900.00,490.00,10%
West Soda,1128299,05-02-2023,West,California,San Francisco,Coca-Cola,0.55,"8,750",4812.50,1443.75,30%
West Soda,1128299,06-02-2023,West,California,San Francisco,Diet Coke,0.60,"8,750",5250.00,787.50,15%
West Soda,1128299,07-02-2023,West,California,San Francisco,Sprite,0.55,"7,250",3987.50,1196.25,30%
West Soda,1128299,08-02-2023,West,California,San Francisco,Fanta,0.55,"7,000",3850.00,962.50,25%
West Soda,1128299,09-02-2023,West,California,San Francisco,Powerade,0.65,"6,500",4225.00,1901.25,45%
West Soda,1128299,10-02-2023,West,California,San Francisco,Dasani Water,0.70,"7,750",5425.00,542.50,10%
West Soda,1128299,11-02-2023,West,California,San Francisco,Coca-Cola,0.55,"9,750",5362.50,1608.75,30%
West Soda,1128299,12-02-2023,West,California,San Francisco,Diet Coke,0.60,"9,750",5850.00,877.50,15%
West Soda,1128299,13-02-2023,West,California,San Francisco,Sprite,0.55,"7,750",4262.50,1278.75,30%
West Soda,1128299,14-02-2023,West,California,San Francisco,Fanta,0.55,"7,750",4262.50,1065.63,25%
West Soda,1128299,15-02-2023,West,California,San Francisco,Powerade,0.65,"7,000",4550.00,2047.50,45%
West Soda,1128299,16-02-2023,West,California,San Francisco,Dasani Water,0.70,"8,000",5600.00,560.00,10%
Target,1189833,17-02-2023,West,California,San Francisco,Coca-Cola,0.35,"7,000",2450.00,980.00,40%
Target,1189833,18-02-2023,West,California,San Francisco,Diet Coke,0.45,"7,000",3150.00,787.50,25%
Target,1189833,09-03-2023,West,California,San Francisco,Sprite,0.45,"7,000",3150.00,1260.00,40%
Target,1189833,10-03-2023,West,California,San Francisco,Fanta,0.45,"5,500",2475.00,866.25,35%
Target,1189833,11-03-2023,West,California,Los Angeles,Powerade,0.50,"5,000",2500.00,1375.00,55%
Target,1189833,12-03-2023,West,California,Los Angeles,Dasani Water,0.45,"7,000",3150.00,630.00,20%
Target,1189833,13-03-2023,West,California,Los Angeles,Coca-Cola,0.35,"7,500",2625.00,1050.00,40%
Target,1189833,14-03-2023,West,California,Los Angeles,Diet Coke,0.45,"6,500",2925.00,731.25,25%
Target,1189833,15-03-2023,West,California,Los Angeles,Sprite,0.45,"6,750",3037.50,1215.00,40%
Target,1189833,16-03-2023,West,California,Los Angeles,Fanta,0.45,"5,250",2362.50,826.88,35%
Target,1189833,17-03-2023,West,California,Los Angeles,Powerade,0.50,"4,500",2250.00,1237.50,55%
Target,1189833,18-03-2023,West,California,Los Angeles,Dasani Water,0.45,"6,500",2925.00,585.00,20%
Target,1189833,19-03-2023,West,California,Los Angeles,Coca-Cola,0.35,"8,000",2800.00,1120.00,40%
Target,1189833,20-03-2023,West,California,Los Angeles,Diet Coke,0.45,"6,500",2925.00,731.25,25%
Target,1189833,21-03-2023,West,California,Los Angeles,Sprite,0.45,"6,500",2925.00,1170.00,40%
Target,1189833,22-03-2023,West,California,Los Angeles,Fanta,0.45,"5,500",2475.00,866.25,35%
Target,1189833,23-03-2023,West,California,Los Angeles,Powerade,0.50,"4,250",2125.00,1168.75,55%
Target,1189833,06-04-2023,West,California,Los Angeles,Dasani Water,0.45,"6,250",2812.50,562.50,20%
Target,1189833,07-04-2023,West,California,Los Angeles,Coca-Cola,0.45,"8,000",3600.00,1440.00,40%
Target,1189833,08-04-2023,West,California,Los Angeles,Diet Coke,0.50,"6,000",3000.00,750.00,25%
Target,1189833,09-04-2023,West,California,Los Angeles,Sprite,0.50,"6,250",3125.00,1250.00,40%
Target,1189833,10-04-2023,West,California,Los Angeles,Fanta,0.45,"5,250",2362.50,826.88,35%
Target,1189833,11-04-2023,West,California,Los Angeles,Powerade,0.50,"4,250",2125.00,1168.75,55%
Target,1189833,12-04-2023,West,California,Los Angeles,Dasani Water,0.65,"6,000",3900.00,780.00,20%
Target,1189833,13-04-2023,West,California,Los Angeles,Coca-Cola,0.45,"8,000",3600.00,1440.00,40%
Target,1189833,14-04-2023,West,California,Los Angeles,Diet Coke,0.50,"6,500",3250.00,812.50,25%
Target,1189833,15-04-2023,West,California,Los Angeles,Sprite,0.50,"6,500",3250.00,1300.00,40%
Target,1189833,16-04-2023,West,California,Los Angeles,Fanta,0.45,"5,500",2475.00,866.25,35%
Target,1189833,17-04-2023,West,California,Los Angeles,Powerade,0.50,"4,500",2250.00,1237.50,55%
Target,1189833,18-04-2023,West,California,Los Angeles,Dasani Water,0.65,"6,250",4062.50,812.50,20%
Target,1189833,19-04-2023,West,California,Los Angeles,Coca-Cola,0.45,"9,000",4050.00,1620.00,40%
Target,1189833,20-04-2023,West,California,Los Angeles,Diet Coke,0.50,"7,500",3750.00,937.50,25%
Target,1189833,21-04-2023,West,California,Los Angeles,Sprite,0.50,"7,500",3750.00,1500.00,40%
Target,1189833,22-04-2023,West,California,Los Angeles,Fanta,0.45,"6,250",2812.50,984.38,35%
Target,1189833,23-04-2023,West,California,Los Angeles,Powerade,0.50,"5,000",2500.00,1375.00,55%
Target,1189833,24-04-2023,West,California,Los Angeles,Dasani Water,0.65,"8,000",5200.00,1040.00,20%
Target,1189833,25-04-2023,West,California,Los Angeles,Coca-Cola,0.45,"9,500",4275.00,1710.00,40%
Target,1189833,26-04-2023,West,California,Los Angeles,Diet Coke,0.50,"8,000",4000.00,1000.00,25%
Target,1189833,27-04-2023,West,California,Los Angeles,Sprite,0.50,"7,500",3750.00,1500.00,40%
Target,1189833,28-04-2023,West,California,Los Angeles,Fanta,0.45,"6,500",2925.00,1023.75,35%
Target,1189833,29-04-2023,West,California,Los Angeles,Powerade,0.50,"7,000",3500.00,1925.00,55%
Target,1189833,30-04-2023,West,California,Los Angeles,Dasani Water,0.65,"7,000",4550.00,910.00,20%
Target,1189833,01-05-2023,West,California,Los Angeles,Coca-Cola,0.50,"9,000",4500.00,1800.00,40%
